"state","hate_crimes_per_100k_splc"
"Alabama",0.125838926
"Alaska",0.143740118
"Arizona",0.225319954
"Arkansas",0.069060773
"California",0.255805361
"Colorado",0.390523301
"Connecticut",0.335392269
"Delaware",0.322754169
"District of Columbia",1.52230172
"Florida",0.187521223
"Georgia",0.120420267
"Hawaii",NA
"Idaho",0.124208173
"Illinois",0.195344549
"Indiana",0.247008877
"Iowa",0.454427421
"Kansas",0.105152471
"Kentucky",0.324396969
"Louisiana",0.109733348
"Maine",0.615574023
"Maryland",0.37043897
"Massachusetts",0.630810592
"Michigan",0.403779375
"Minnesota",0.62747993
"Mississippi",0.067446801
"Missouri",0.18452351
"Montana",0.495491032
"Nebraska",0.159489633
"Nevada",0.14167316
"New Hampshire",0.151549595
"New Jersey",0.078305908
"New Mexico",0.294811321
"New York",0.350620446
"North Carolina",0.244006588
"North Dakota",NA
"Ohio",0.190713964
"Oklahoma",0.133629099
"Oregon",0.832849608
"Pennsylvania",0.285101092
"Rhode Island",0.095401641
"South Carolina",0.209894423
"South Dakota",NA
"Tennessee",0.19993848
"Texas",0.213583938
"Utah",0.136546733
"Vermont",0.324149109
"Virginia",0.363248898
"Washington",0.67748765
"West Virginia",0.328677075
"Wisconsin",0.226197105
"Wyoming",NA
