state_abbr,state,hate_crimes_per_100k_splc,Rates of 2016,Rates of 2015,Rates of 2014,Clinton..2016.,Trump..2016.,Johnson...2016.,votes_dem_2016,votes_gop_2016
AL,Alabama,0.125838926,6.773756219,7.033084577,7.917164179,34.4,62.1,2.1,10717.67164,19506.34328
,Alaska,0.143740118,,,,36.6,51.3,5.9,,
AZ,Arizona,0.225319954,7.732777778,8.791666667,9.470555556,44.6,48.1,4.1,62416.66667,68076.93333
AR,Arkansas,0.069060773,4.656666667,6.016,6.968,33.7,60.6,2.6,5049.72,9038.72
CA,California,0.255805361,6.920219436,7.563362069,8.820258621,61.5,31.5,3.4,124667.2241,66226.44828
CO,Colorado,0.390523301,3.416145833,4.026432292,5.198958333,48.2,43.3,5.2,18940.76563,17772.73438
CT,Connecticut,0.335392269,5.128125,5.489583333,6.440625,54.6,40.9,3,110554,83533.25
DE,Delaware,0.322754169,4.430555556,5.044444444,5.897222222,53.1,41.7,3.3,78527,61701
DC,District of Columbia,1.52230172,,,,90.9,4.1,1.6,260223,11553
FL,Florida,0.187521223,,,,47.4,48.6,2.2,66951.41791,68739.02985
GA,Georgia,0.120420267,,,,45.3,50.4,3,11555.34591,13010.20755
HI,Hawaii,NA,3.414583333,3.929166667,4.747916667,62.2,30,3.7,66706.75,32203.75
ID,Idaho,0.124208173,4.36780303,4.703219697,5.431628788,27.5,59.2,4.1,4310.840909,9254.522727
IL,Illinois,0.195344549,6.280800654,6.155800654,6.951960784,55.2,38.4,3.7,29191.15686,20766.46078
IN,Indiana,0.247008877,4.615851449,4.811865942,5.95615942,37.5,56.5,4.9,11216.88043,16915.43478
IA,Iowa,0.454427421,3.875084175,3.677272727,4.208670034,41.7,51.1,3.8,6573.636364,8069.929293
KS,Kansas,0.105152471,3.978730159,3.956269841,4.022936508,35.7,56.2,4.6,3950.361905,6247.704762
KY,Kentucky,0.324396969,6.358125,6.513611111,7.565486111,32.7,62.5,2.8,5240.283333,10024.51667
LA,Louisiana,0.109733348,7.224414063,7.374804688,7.244886364,38.4,58.1,1.9,12180.23438,18406.3125
ME,Maine,0.615574023,4.24375,4.916666667,6.235416667,47.8,44.9,5.1,22179.5625,20927.375
MD,Maryland,0.37043897,4.909027778,5.778819444,6.435069444,60.3,33.9,2.9,62414.625,36401.91667
MA,Massachusetts,0.630810592,4.14047619,5.425595238,6.233333333,60,32.8,4.2,140340.5714,77362.07143
MI,Michigan,0.403779375,5.566566265,5.939759036,8.327349398,47,47.3,3.6,27327.62651,27467.53012
MN,Minnesota,0.62747993,4.571264368,4.351245211,4.759195402,46.4,44.9,3.8,15708.91954,15205.64368
MS,Mississippi,0.067446801,6.988617886,7.719207317,8.973373984,40.1,57.9,1.2,5634.158537,8273.865854
MO,Missouri,0.18452351,5.079782609,5.42326087,6.554130435,37.9,56.4,3.4,9172.947826,13789.15652
MT,Montana,0.495491032,4.418452381,4.288988095,4.677827381,35.4,55.6,5.6,3116.446429,4895
NE,Nebraska,0.159489633,3.086648746,2.877867384,3.094713262,33.7,58.7,4.6,2944.709677,5223.860215
NV,Nevada,0.14167316,5.946078431,6.86127451,7.603431373,47.9,45.5,3.3,31632.52941,30077.58824
NH,New Hampshire,0.151549595,2.759166667,3.4225,4.233333333,46.8,46.5,4.1,34852.1,34578.9
NJ,New Jersey,0.078305908,5.232539683,6.051587302,7.195634921,55,41,1.9,96274.09524,73119.66667
NM,New Mexico,0.294811321,6.930050505,7.243434343,7.327777778,48.3,40,9.3,11537.09091,9571.969697
NY,New York,0.350620446,5.004166667,5.582258065,6.31155914,59,36.5,2.3,66836.67742,42589.83871
NC,North Carolina,0.244006588,5.68875,6.4425,7.0385,46.2,49.8,2.7,21620.74,23396.03
ND,North Dakota,NA,3.505345912,3.252830189,3.312421384,27.2,63,6.2,1764.641509,4077.981132
OH,Ohio,0.190713964,5.409848485,5.314583333,6.182575758,43.2,51.3,3.2,26329.55682,31499.81818
OK,Oklahoma,0.133629099,5.304004329,4.746536797,4.819805195,28.9,65.3,5.7,5451.792208,12310.83117
OR,Oregon,0.832849608,5.649537037,6.55162037,7.862962963,50.1,39.1,4.7,25961.97222,20625.16667
PA,Pennsylvania,0.285101092,5.903731343,5.472636816,6.109950249,47.5,48.2,2.4,42458.28358,43476.73134
RI,Rhode Island,0.095401641,4.945,5.528333333,7.128333333,54.4,38.9,3.2,49980.4,35884.2
SC,South Carolina,0.209894423,5.945289855,7.039673913,7.592934783,40.7,54.9,2.3,18466.71739,24861.1087
SD,South Dakota,NA,3.198358586,3.656439394,4.025631313,31.7,61.5,5.6,1779.424242,3450.015152
TN,Tennessee,0.19993848,5.419298246,6.737982456,7.613245614,34.7,60.7,2.8,9127.473684,15972.65263
TX,Texas,0.213583938,5.104790026,4.775262467,4.950590551,43.2,52.2,3.2,15227.62205,18431.45669
UT,Utah,0.136546733,4.906896552,4.798563218,4.767816092,27.2,45.1,3.5,9454.758621,15589.17241
VT,Vermont,0.324149109,3.732738095,4.214880952,4.522619048,56.7,30.3,3.2,12727.07143,6789.5
VA,Virginia,0.363248898,4.630388471,5.14066416,6.003634085,49.8,44.4,3,14412.36842,13016.21053
WA,Washington,0.67748765,6.911752137,6.835683761,7.407692308,52.5,36.8,4.9,41295.48718,28951.79487
WV,West Virginia,0.328677075,7.023939394,7.743787879,7.521666667,26.2,67.9,3.2,3408.309091,8839.963636
WI,Wisconsin,0.226197105,4.691087963,5.12662037,6.014930556,46.5,47.2,3.6,19197.36111,19575.93056
WY,Wyoming,NA,4.969927536,4.06884058,4.12173913,21.9,68.2,5.2,2432.565217,7576
